priority,topicId,id,title,reason,source,url,sourceUrl,stage,type,isDatePlaceholder,nextAction
P2,hackathon-ddl,hackathon-ddl-cal-hacks-2026-2026-10-24,Cal Hacks 2026,manual/source-board follow-up,人工整理的官方来源入口,https://calhacks.io,https://calhacks.io,Hacking,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-devpost-ai-builders-challenge-2026-08-18,Devpost AI Builders Challenge,manual/source-board follow-up,人工整理的官方来源入口,https://devpost.com/hackathons,https://devpost.com/hackathons,Submission,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-dorahacks-open-innovation-sprint-2026-11-15,DoraHacks Open Innovation Sprint,manual/source-board follow-up,人工整理的官方来源入口,https://dorahacks.io,https://dorahacks.io,Bounty submit,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-hack-cambridge-2027-2026-12-20,Hack Cambridge 2027,manual/source-board follow-up,人工整理的官方来源入口,https://hackcambridge.com,https://hackcambridge.com,Registration,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-hackharvard-2026-2026-09-20,HackHarvard 2026,manual/source-board follow-up,人工整理的官方来源入口,https://hackharvard.io,https://hackharvard.io,Application,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-hackmit-2026-2026-09-15,HackMIT 2026,manual/source-board follow-up,人工整理的官方来源入口,https://hackmit.org,https://hackmit.org,Application,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-hackprinceton-2026-fall-2026-10-01,HackPrinceton 2026 Fall,manual/source-board follow-up,人工整理的官方来源入口,https://hackprinceton.com,https://hackprinceton.com,Application,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-hackupc-2026-2026-10-18,HackUPC 2026,manual/source-board follow-up,人工整理的官方来源入口,https://hackupc.com,https://hackupc.com,Registration,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-hackzurich-2026-2026-09-11,HackZurich 2026,manual/source-board follow-up,人工整理的官方来源入口,https://hackzurich.com,https://hackzurich.com,Application,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-junction-2026-2026-11-06,Junction 2026,manual/source-board follow-up,人工整理的官方来源入口,https://www.hackjunction.com,https://www.hackjunction.com,Application,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-la-hacks-2026-2026-10-05,LA Hacks 2026,manual/source-board follow-up,人工整理的官方来源入口,https://lahacks.com,https://lahacks.com,Registration,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-mlh-global-hack-week-2026-07-20,MLH Global Hack Week,manual/source-board follow-up,人工整理的官方来源入口,https://mlh.io/seasons,https://mlh.io/seasons,Event start,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-nwhacks-2027-2026-12-10,nwHacks 2027,manual/source-board follow-up,人工整理的官方来源入口,https://nwhacks.io,https://nwhacks.io,Registration,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-pennapps-2026-fall-2026-08-25,PennApps 2026 Fall,manual/source-board follow-up,官方来源入口,https://pennapps.com,https://pennapps.com,Application,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,hackathon-ddl,hackathon-ddl-treehacks-2027-2026-11-15,TreeHacks 2027,manual/source-board follow-up,人工整理的官方来源入口,https://treehacks.com,https://treehacks.com,Acceptance,hackathon,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-白露-2026-2026-09-07,白露 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-除夕-2026-2026-02-16,除夕 2026,manual/source-board follow-up,官方来源入口,https://www.gov.cn/,https://www.gov.cn/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-处暑-2026-2026-08-23,处暑 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-春分-2026-2026-03-20,春分 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-春节-2026-2026-02-17,春节 2026,manual/source-board follow-up,官方日历来源入口,https://www.gov.cn/,https://www.gov.cn/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-大寒-2026-2026-01-20,大寒 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-大暑-2026-2026-07-23,大暑 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-大雪-2026-2026-12-07,大雪 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-冬至-2026-2026-12-22,冬至 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-端午节-2026-2026-06-19,端午节 2026,manual/source-board follow-up,官方日历来源入口,https://www.gov.cn/,https://www.gov.cn/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-谷雨-2026-2026-04-20,谷雨 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-国庆节-2026-2026-10-01,国庆节 2026,manual/source-board follow-up,官方日历来源入口,https://www.gov.cn/,https://www.gov.cn/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-寒露-2026-2026-10-08,寒露 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-惊蛰-2026-2026-03-05,惊蛰 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-腊八节-2027-2027-01-15,腊八节 2027,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-劳动节-2026-2026-05-01,劳动节 2026,manual/source-board follow-up,官方日历来源入口,https://www.gov.cn/,https://www.gov.cn/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-立春-2026-2026-02-04,立春 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-立冬-2026-2026-11-07,立冬 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-立秋-2026-2026-08-07,立秋 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-立夏-2026-2026-05-05,立夏 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-龙抬头-2026-2026-03-20,龙抬头 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-芒种-2026-2026-06-05,芒种 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-七夕-2026-2026-08-19,七夕 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-清明-2026-2026-04-05,清明 2026,manual/source-board follow-up,Gov / 官方来源入口,https://www.gov.cn/,https://www.gov.cn/,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-秋分-2026-2026-09-23,秋分 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-霜降-2026-2026-10-23,霜降 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-夏至-2026-2026-06-21,夏至 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-小寒-2026-2026-01-05,小寒 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-小满-2026-2026-05-21,小满 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-小年-2026-2026-02-10,小年 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-小暑-2026-2026-07-07,小暑 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-小雪-2026-2026-11-22,小雪 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-雨水-2026-2026-02-19,雨水 2026,manual/source-board follow-up,官方年历来源入口,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,https://www.weather.gov.hk/en/gts/astron2026/almanac2026_index.htm,Solar term,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-元旦-2026-2026-01-01,元旦 2026,manual/source-board follow-up,官方日历来源入口,https://www.gov.cn/,https://www.gov.cn/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-元宵节-2026-2026-03-03,元宵节 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-中秋节-2026-2026-09-25,中秋节 2026,manual/source-board follow-up,官方日历来源入口,https://www.gov.cn/,https://www.gov.cn/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-中元节-2026-2026-08-27,中元节 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-重阳节-2026-2026-10-18,重阳节 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Traditional festival,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-april-fools-day-2026-2026-04-01,April Fools' Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-black-friday-2026-2026-11-27,Black Friday 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-christmas-day-2026-2026-12-25,Christmas Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-earth-day-2026-2026-04-22,Earth Day 2026,manual/source-board follow-up,官方来源入口,https://www.earthday.org,https://www.earthday.org,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-father-s-day-2026-2026-06-21,Father's Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-halloween-2026-2026-10-31,Halloween 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-mother-s-day-2026-2026-05-10,Mother's Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-new-year-2027-2027-01-01,New Year 2027,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Holiday,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-singles-day-2026-2026-11-11,Singles Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-st-patrick-s-day-2026-2026-03-17,St Patrick's Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,holiday-ddl,holiday-ddl-valentine-s-day-2026-2026-02-14,Valentine's Day 2026,manual/source-board follow-up,官方来源入口,https://www.timeanddate.com/holidays/,https://www.timeanddate.com/holidays/,Observance,holiday,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,ielts-toefl-ddl,ielts-toefl-ddl-ets-toefl-ibt-registration,TOEFL iBT 全球报名与考位查询,manual/source-board follow-up,ETS TOEFL iBT Registration,https://www.ets.org/toefl/test-takers/ibt/register.html,https://www.ets.org/toefl/test-takers/ibt/register.html,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,ielts-toefl-ddl,ielts-toefl-ddl-ets-toefl-mainland-china,ETS TOEFL 中国大陆考试选项说明,manual/source-board follow-up,ETS TOEFL Testing Options Mainland China,https://www.ets.org/toefl/test-takers/ibt/about/testing-options.html,https://www.ets.org/toefl/test-takers/ibt/about/testing-options.html,Official guide,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,ielts-toefl-ddl,ielts-toefl-ddl-ielts-2026-q2-schedule,雅思 2026 年 4-6 月考期查询,manual/source-board follow-up,雅思中文官方网站 2026 年 4-6 月考期,https://www.chinaielts.org/press-office/IELTS-Chinese-Mainland-Exam-Registration-2026-4-6,https://www.chinaielts.org/press-office/IELTS-Chinese-Mainland-Exam-Registration-2026-4-6,Schedule window,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,ielts-toefl-ddl,ielts-toefl-ddl-ielts-neea-2026-announcement,2026 年 IELTS 报名与收费安排,manual/source-board follow-up,教育部教育考试院 IELTS 2026 安排,https://news.neea.edu.cn/IELTS/zh_CN/4411D51FC3C4BAEFE0630746C80A3901.html,https://news.neea.edu.cn/IELTS/zh_CN/4411D51FC3C4BAEFE0630746C80A3901.html,Official notice,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,ielts-toefl-ddl,ielts-toefl-ddl-ielts-neea-registration-portal-2026,雅思考试中国大陆报名入口,manual/source-board follow-up,雅思考试报名网站,https://ielts.neea.cn/,https://ielts.neea.cn/,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,ielts-toefl-ddl,ielts-toefl-ddl-toefl-neea-registration-portal-2026,TOEFL iBT 中国大陆报名入口,manual/source-board follow-up,TOEFL iBT 中国大陆报名网站,https://toefl.neea.cn/,https://toefl.neea.cn/,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,jcr-impact-factor-ddl,jcr-2026-correction-watch-window,2026 JCR 后续修正观察窗口,manual/source-board follow-up,Clarivate JCR Help Center,https://journalcitationreports.zendesk.com/hc/en-gb/sections/201245195-Journal-Citation-Reports,https://journalcitationreports.zendesk.com/hc/en-gb/articles/36310787349521-2025,Watch window,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,jcr-impact-factor-ddl,jcr-2026-release-forecast,2026 JCR 年度发布预测窗口,manual/source-board follow-up,Clarivate,https://clarivate.com/academia-government/scientific-and-academic-research/research-funding-analytics/journal-citation-reports/,https://clarivate.com/academia-government/scientific-and-academic-research/research-funding-analytics/journal-citation-reports/,Forecast only,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,journal-ddl,journal-ddl-11,IEEE Communications Magazine Call for Papers,manual/source-board follow-up,IEEE 官方 CFP 来源入口,https://www.comsoc.org/publications/magazines/ieee-communications-magazine/cfp,https://www.comsoc.org/publications/magazines/ieee-communications-magazine/cfp,CFP board,journal,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,journal-ddl,journal-ddl-12,IEEE JSAC Call for Papers,manual/source-board follow-up,IEEE 官方 CFP 来源入口,https://www.comsoc.org/publications/journals/ieee-jsac/cfp,https://www.comsoc.org/publications/journals/ieee-jsac/cfp,CFP board,journal,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,journal-ddl,journal-ddl-13,IEEE Signal Processing Society Special Issue Deadlines,manual/source-board follow-up,IEEE 官方 CFP 来源入口,https://signalprocessingsociety.org/publications-resources/special-issue-deadlines,https://signalprocessingsociety.org/publications-resources/special-issue-deadlines,Deadline board,journal,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,journal-ddl,journal-ddl-14,IEEE Access Special Sections,manual/source-board follow-up,IEEE 官方 CFP 来源入口,https://ieeeaccess.ieee.org/sections/special-sections/,https://ieeeaccess.ieee.org/sections/special-sections/,Special Section,journal,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,journal-ddl,journal-ddl-15,ScienceDirect Browse Calls for Papers,manual/source-board follow-up,Elsevier 官方 CFP 来源入口,https://www.sciencedirect.com/browse/calls-for-papers,https://www.sciencedirect.com/browse/calls-for-papers,CFP board,journal,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,journal-ddl,journal-ddl-16,IEEE Access / IEEE Author Portal Submission Route,manual/source-board follow-up,IEEE 官方 CFP 来源入口,https://ieee.atyponrex.com/,https://ieee.atyponrex.com/,Submission platform,journal,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,llm-release-ddl,deepseek-next-major-forecast-2026,DeepSeek 下一代主力模型预测窗口,manual/source-board follow-up,DeepSeek API Docs,https://api-docs.deepseek.com/news/news251201,https://api-docs.deepseek.com/news/news251201,Forecast only,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,llm-release-ddl,glm-next-major-forecast-2026,GLM 下一代主力模型预测窗口,manual/source-board follow-up,Z.ai,https://z.ai/blog/glm-4.6,https://z.ai/blog/glm-4.6,Forecast only,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,llm-release-ddl,kimi-next-major-forecast-2026,Kimi 下一代主力模型预测窗口,manual/source-board follow-up,Moonshot AI,https://platform.moonshot.ai/blog/posts/changelog,https://platform.moonshot.ai/blog/posts/changelog,Forecast only,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,llm-release-ddl,minimax-next-major-forecast-2026,MiniMax 下一代主力模型预测窗口,manual/source-board follow-up,MiniMax,https://www.minimaxi.com/en/news/minimax-m25,https://www.minimaxi.com/en/news/minimax-m25,Forecast only,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,llm-release-ddl,qwen-next-major-forecast-2026,下一代 Qwen 主线模型发布窗口预测,manual/source-board follow-up,Qwen Blog,https://qwenlm.github.io/blog/qwen3/,https://qwenlm.github.io/blog/qwen3/,"Forecast, not official date",forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,movie-tv-ddl,movie-tv-ddl-one-piece-live-action-s3-2027-placeholder,ONE PIECE: The Battle of Alabasta,manual/source-board follow-up,Netflix Tudum,https://www.netflix.com/tudum/articles/one-piece-renewed-season-3,https://www.netflix.com/tudum/articles/one-piece-renewed-season-3,Official year announced,releaseWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,movie-tv-ddl,movie-tv-ddl-the-one-piece-anime-2027-02-placeholder,THE ONE PIECE 动画 Season 1,manual/source-board follow-up,Netflix Tudum,https://www.netflix.com/tudum/articles/the-one-piece-release-date,https://www.netflix.com/tudum/articles/the-one-piece-release-date,Official month announced,releaseWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,movie-tv-ddl,movie-tv-ddl-toy-story-next-film-forecast,Toy Story 系列下一部正片预测窗口,manual/source-board follow-up,Pixar official release history,https://www.pixar.com/our-story,https://www.pixar.com/our-story,Forecast window,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,multimodal-ddl,multimodal-ddl-acl-multimodal-nlp-workshop-2027-01-25,ACL Multimodal NLP Workshop,manual/source-board follow-up,人工整理的官方来源入口,https://www.aclweb.org,https://www.aclweb.org,Paper,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,multimodal-ddl,multimodal-ddl-audio-visual-scene-challenge-2026-11-05,Audio-Visual Scene Challenge,manual/source-board follow-up,人工整理的官方来源入口,https://www.kaggle.com/competitions,https://www.kaggle.com/competitions,Submission,challenge,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,multimodal-ddl,multimodal-ddl-chartqa-challenge-2026-10-22,ChartQA Challenge,manual/source-board follow-up,人工整理的官方来源入口,https://github.com/vis-nlp/ChartQA,https://github.com/vis-nlp/ChartQA,Submission,challenge,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,multimodal-ddl,multimodal-ddl-cvpr-vlm-workshop-paper-2026-12-01,CVPR VLM Workshop Paper,manual/source-board follow-up,人工整理的官方来源入口,https://cvpr.thecvf.com,https://cvpr.thecvf.com,Workshop paper,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
